孃開二耕平 naeng 儜
滂二耕平 paeng 怦
曉合二耕平 xuaeng 轟
澄開二耕平 dhyaeng 橙
影合二耕平 uaeng 泓
並二耕平 bhaeng 輣
疑開二耕平 qaeng 娙
莊開二耕平 draeng 爭
清開三清平 tsieng 清
從開三清平 dzieng 情
精開三清平 zieng 精
以開三清平 yeng 盈
以合三清平 yueng 營
影開三A清平 ieng 嬰
知開三清平 dyaeng 貞
徹開三清平 tyaeng 檉
常開三清平 zhaeng 成
澄開三清平 dhyaeng 呈
書開三清平 shaeng 聲
章開三清平 jaeng 征
溪開三A清平 kieng 輕
明三A清平 mieng 名
來開三清平 lieng 跉
幫三A清平 bieng 并
溪合三A清平 kiueng 傾
邪開三清平 szieng 𩛿
影合三A清平 iueng 縈
羣合三A清平 giueng 瓊
心合三清平 siueng 騂
羣開三A清平 gieng 頸
曉合三A清平 xiueng 𧵣
清開四青平 tsieng 青
見開四青平 cieng 經
匣開四青平 hieng 㓝
定開四青平 dhieng 庭
端開四青平 dieng 丁
曉開四青平 xieng 馨
心開四青平 sieng 星
滂四青平 pieng 竮
來開四青平 lieng 靈
泥開四青平 nieng 寧
透開四青平 tieng 汀
明四青平 mieng 冥
並四青平 bhieng 瓶
匣合四青平 hiueng 熒
見合四青平 ciueng 扃
章開三蒸平 jeng 蒸
常開三蒸平 zheng 承
澄開三蒸平 dhyeng 澂
來開三蒸平 ling 陵
影開三蒸平 ing 膺
並三蒸平 bhing 凭
幫三蒸平 bing 冫
以開三蒸平 ying 蠅
船開三蒸平 djeng 繩
書開三蒸平 sheng 升
日開三蒸平 reng 仍
見開三蒸平 cing 兢
知開三蒸平 dyeng 徵
從開三蒸平 dzing 繒
疑開三蒸平 qing 凝
曉開三蒸平 xing 興
昌開三蒸平 cheng 稱
羣開三蒸平 ging 殑
生開三蒸平 sreng 㱡
溪開三蒸平 king 硱
徹開三蒸平 tyeng 僜
崇開三蒸平 jreng 磳
滂三蒸平 ping 砯
端開一登平 deng 登
來開一登平 leng 楞
心開一登平 seng 僧
幫一登平 beng 崩
精開一登平 zeng 增
明一登平 meng 瞢
從開一登平 dzeng 層
並一登平 bheng 朋
匣合一登平 hueng 弘
見合一登平 cueng 肱
曉合一登平 xueng 薨
泥開一登平 neng 能
定開一登平 dheng 騰
匣開一登平 heng 恆
見開一登平 ceng 揯
透開一登平 teng 鼟
滂一登平 peng 漰
云三尤平 yeu 尤
影三尤平 ieu 憂
來三尤平 lieu 劉
清三尤平 tsieu 秋
以三尤平 yeu 猷
疑三尤平 qieu 牛
精三尤平 zieu 遒
從三尤平 dzieu 酋
心三尤平 sieu 脩
徹三尤平 tyeu 抽
溪三尤平 kieu 𠁫
昌三尤平 cheu 犫
